log_id,timestamp,cmdb_id,log_name,value
A73EpX8BmS57GQLkNIB5,1647753570,frontend-2,log_frontend-envoy_gateway,"""POST /hipstershop.CurrencyService/Convert HTTP/2"" 200 - via_upstream - ""-"" 19 19 0 0 ""-"" ""grpc-go/1.31.0"" ""23d69087-e58a-9d9a-8596-170911ace735"" ""currencyservice:7000"" ""172.20.8.92:7000"" outbound|7000||currencyservice.ts.svc.cluster.local 172.20.8.123:57668 10.68.155.95:7000 172.20.8.123:54134 - default"
Jwq1pn8BmS57GQLkEAqn,1647769353,productcatalogservice-2,log_productcatalogservice-envoy_gateway,"""- - -"" 0 - - - ""-"" 298 779 4 - ""-"" ""-"" ""-"" ""-"" ""172.20.188.237:4000"" outbound|4000||basic-tidb-external.tidb-cluster.svc.cluster.local 172.20.8.107:60086 10.68.243.67:4000 172.20.8.107:57452 - -"
I7u9pX8BmS57GQLkJnRx,1647753106,recommendationservice-1,log_recommendationservice-envoy_gateway,"""POST /hipstershop.ProductCatalogService/ListProducts HTTP/2"" 200 - via_upstream - ""-"" 5 1396 1 0 ""-"" ""grpc-python/1.30.0 grpc-c/10.0.0 (manylinux; chttp2)"" ""a3875f69-f75c-911c-827e-d77baa88f9bb"" ""productcatalogservice:3550"" ""172.20.8.68:3550"" outbound|3550||productcatalogservice.ts.svc.cluster.local 172.20.8.124:60274 10.68.16.165:3550 172.20.8.124:59600 - default"
jG8fpH8BmS57GQLkS9Fm,1647725985,currencyservice-1,log_currencyservice-envoy_gateway,"""POST /hipstershop.CurrencyService/Convert HTTP/2"" 200 - via_upstream - ""-"" 25 18 0 0 ""-"" ""grpc-go/1.31.0"" ""8ad2f6ba-1474-931c-8ebb-ff9e597f6309"" ""currencyservice:7000"" ""172.20.8.92:7000"" inbound|7000|| 127.0.0.6:49929 172.20.8.92:7000 172.20.8.66:42280 outbound_.7000_._.currencyservice.ts.svc.cluster.local default"
eHZdpH8BmS57GQLkMT4Z,1647730038,productcatalogservice-1,log_productcatalogservice-envoy_gateway,"""- - -"" 0 - - - ""-"" 298 748 4 - ""-"" ""-"" ""-"" ""-"" ""172.20.188.237:4000"" outbound|4000||basic-tidb-external.tidb-cluster.svc.cluster.local 172.20.8.68:40928 10.68.243.67:4000 172.20.8.68:58164 - -"
Y839pX8BmS57GQLkKacK,1647757296,recommendationservice-1,log_recommendationservice-envoy_gateway,"""POST /hipstershop.ProductCatalogService/ListProducts HTTP/2"" 200 - via_upstream - ""-"" 5 1396 1 0 ""-"" ""grpc-python/1.30.0 grpc-c/10.0.0 (manylinux; chttp2)"" ""333baad9-b3e1-9b65-a473-d9e09a5701af"" ""productcatalogservice:3550"" ""172.20.8.93:3550"" outbound|3550||productcatalogservice.ts.svc.cluster.local 172.20.8.124:35108 10.68.16.165:3550 172.20.8.124:59600 - default"
StYbpn8BmS57GQLkWki8,1647759281,productcatalogservice-0,log_productcatalogservice-envoy_gateway,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/2"" 200 - via_upstream - ""-"" 17 176 4 4 ""-"" ""grpc-go/1.31.0"" ""b35cd17a-9659-9589-b9f9-533ce95cdf51"" ""productcatalogservice:3550"" ""172.20.8.93:3550"" inbound|3550|| 127.0.0.6:41806 172.20.8.93:3550 172.20.8.105:54196 outbound_.3550_._.productcatalogservice.ts.svc.cluster.local default"
am4SpH8BmS57GQLk00Em,1647725162,frontend-2,log_frontend-envoy_gateway,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/2"" 200 - via_upstream - ""-"" 17 158 5 5 ""-"" ""grpc-go/1.31.0"" ""e42914f5-2646-90ac-b9d4-61eecbbbadb3"" ""productcatalogservice:3550"" ""172.20.8.93:3550"" outbound|3550||productcatalogservice.ts.svc.cluster.local 172.20.8.123:53812 10.68.16.165:3550 172.20.8.123:36352 - default"
LGKao38BmS57GQLk0Kt6,1647717304,productcatalogservice-2,log_productcatalogservice-envoy_gateway,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/2"" 200 - via_upstream - ""-"" 17 176 4 3 ""-"" ""grpc-go/1.31.0"" ""29368d88-2f07-9078-b23d-1c7bfe46ebbb"" ""productcatalogservice:3550"" ""172.20.8.107:3550"" inbound|3550|| 127.0.0.6:43859 172.20.8.107:3550 172.20.8.123:54878 outbound_.3550_._.productcatalogservice.ts.svc.cluster.local default"
VZhCpX8BmS57GQLk2DOe,1647745091,productcatalogservice-0,log_productcatalogservice-envoy_gateway,"""- - -"" 0 - - - ""-"" 298 762 3 - ""-"" ""-"" ""-"" ""-"" ""172.20.188.237:4000"" outbound|4000||basic-tidb-external.tidb-cluster.svc.cluster.local 172.20.8.93:50420 10.68.243.67:4000 172.20.8.93:39022 - -"
R7CWpX8BmS57GQLkAAOV,1647750544,productcatalogservice-2,log_productcatalogservice-envoy_gateway,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/2"" 200 - via_upstream - ""-"" 17 176 4 4 ""-"" ""grpc-go/1.31.0"" ""17723085-42e9-9b7d-b5ef-6ed7b49e7d19"" ""productcatalogservice:3550"" ""172.20.8.107:3550"" inbound|3550|| 127.0.0.6:43859 172.20.8.107:3550 172.20.8.123:54878 outbound_.3550_._.productcatalogservice.ts.svc.cluster.local default"
Ok1Rp38BmS57GQLkrz5Q,1647779613,currencyservice-2,log_currencyservice-envoy_gateway,"""POST /hipstershop.CurrencyService/GetSupportedCurrencies HTTP/2"" 200 - via_upstream - ""-"" 5 170 0 0 ""-"" ""grpc-go/1.31.0"" ""511a2bce-4ed2-99d0-a544-ba719935946a"" ""currencyservice:7000"" ""172.20.8.98:7000"" inbound|7000|| 127.0.0.6:51035 172.20.8.98:7000 172.20.8.105:57072 outbound_.7000_._.currencyservice.ts.svc.cluster.local default"
Rgetpn8BmS57GQLkjWnS,1647768861,frontend-0,log_frontend-envoy_gateway,"""POST /hipstershop.CurrencyService/Convert HTTP/2"" 200 - via_upstream - ""-"" 25 18 1 1 ""-"" ""grpc-go/1.31.0"" ""9a4c22a3-13fe-9383-abdc-98c54a01e1b7"" ""currencyservice:7000"" ""172.20.8.92:7000"" outbound|7000||currencyservice.ts.svc.cluster.local 172.20.8.66:42280 10.68.155.95:7000 172.20.8.66:57584 - default"
AZMzpX8BmS57GQLkUvn9,1647744075,currencyservice-1,log_currencyservice-envoy_gateway,"""POST /hipstershop.CurrencyService/Convert HTTP/2"" 200 - via_upstream - ""-"" 25 19 0 0 ""-"" ""grpc-go/1.31.0"" ""7ef3df7a-7799-907a-b3c7-3f09e6034df4"" ""currencyservice:7000"" ""172.20.8.92:7000"" inbound|7000|| 127.0.0.6:49929 172.20.8.92:7000 172.20.8.66:42280 outbound_.7000_._.currencyservice.ts.svc.cluster.local default"
1WOfo38BmS57GQLkgw6L,1647717611,productcatalogservice-0,log_productcatalogservice-envoy_gateway,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/2"" 200 - via_upstream - ""-"" 17 147 6 5 ""-"" ""grpc-go/1.31.0"" ""058c33f9-58f5-9583-8edf-77c063bd8003"" ""productcatalogservice:3550"" ""172.20.8.93:3550"" inbound|3550|| 127.0.0.6:41806 172.20.8.93:3550 172.20.8.66:40674 outbound_.3550_._.productcatalogservice.ts.svc.cluster.local default"
WRfXpn8BmS57GQLkVTej,1647771602,frontend-0,log_frontend-envoy_gateway,"""POST /hipstershop.RecommendationService/ListRecommendations HTTP/2"" 200 - via_upstream - ""-"" 55 65 3 3 ""-"" ""grpc-go/1.31.0"" ""1d2c9a50-f3dc-99ba-9309-7253991eab3a"" ""recommendationservice:8080"" ""172.20.8.124:8080"" outbound|8080||recommendationservice.ts.svc.cluster.local 172.20.8.66:34554 10.68.176.130:8080 172.20.8.66:36386 - default"
7A_Fpn8BmS57GQLkhdt9,1647770427,productcatalogservice-1,log_productcatalogservice-envoy_gateway,"""POST /hipstershop.ProductCatalogService/ListProducts HTTP/2"" 200 - via_upstream - ""-"" 5 1396 0 0 ""-"" ""grpc-python/1.30.0 grpc-c/10.0.0 (manylinux; chttp2)"" ""25f8d127-0eaf-9598-9a10-abb8bf0179ae"" ""productcatalogservice:3550"" ""172.20.8.68:3550"" inbound|3550|| 127.0.0.6:37525 172.20.8.68:3550 172.20.8.91:50730 outbound_.3550_._.productcatalogservice.ts.svc.cluster.local default"
DNAFpn8BmS57GQLkfBnm,1647757844,frontend-0,log_frontend-envoy_gateway,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/2"" 200 - via_upstream - ""-"" 17 158 4 4 ""-"" ""grpc-go/1.31.0"" ""fca34b99-da41-9187-a82a-3ba81af15309"" ""productcatalogservice:3550"" ""172.20.8.68:3550"" outbound|3550||productcatalogservice.ts.svc.cluster.local 172.20.8.66:43508 10.68.16.165:3550 172.20.8.66:60356 - default"
KqZ3pX8BmS57GQLkj_QG,1647748544,productcatalogservice-2,log_productcatalogservice-envoy_gateway,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/2"" 200 - via_upstream - ""-"" 17 171 4 3 ""-"" ""grpc-go/1.31.0"" ""03c1a6f4-2fcc-97a9-bc27-bf65c271bd35"" ""productcatalogservice:3550"" ""172.20.8.107:3550"" inbound|3550|| 127.0.0.6:43859 172.20.8.107:3550 172.20.8.123:54878 outbound_.3550_._.productcatalogservice.ts.svc.cluster.local default"
IwSlpn8BmS57GQLk2ifu,1647768358,frontend-2,log_frontend-envoy_gateway,"""POST /hipstershop.CartService/GetCart HTTP/2"" 200 - via_upstream - ""-"" 43 5 1 1 ""-"" ""grpc-go/1.31.0"" ""bf14a684-f0a3-97b3-aa80-3bb4f907cf0b"" ""cartservice:7070"" ""172.20.8.72:7070"" outbound|7070||cartservice.ts.svc.cluster.local 172.20.8.123:55620 10.68.146.80:7070 172.20.8.123:49846 - default"
D_aGpn8BmS57GQLk3ubw,1647766329,productcatalogservice-1,log_productcatalogservice-envoy_gateway,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/2"" 200 - via_upstream - ""-"" 17 128 4 3 ""-"" ""grpc-go/1.31.0"" ""59f6e21f-bd2e-929d-87d3-b35ded7a867f"" ""productcatalogservice:3550"" ""172.20.8.68:3550"" inbound|3550|| 127.0.0.6:39159 172.20.8.68:3550 172.20.8.105:38966 outbound_.3550_._.productcatalogservice.ts.svc.cluster.local default"
bJxQpX8BmS57GQLk4xEW,1647746010,frontend-2,log_frontend-envoy_gateway,"""GET /cart HTTP/1.1"" 200 - via_upstream - ""-"" 0 16412 51 50 ""-"" ""k6/0.26.2 (https://k6.io/)"" ""e5483a4c-6ba7-9782-9c96-6774b9f0c125"" ""frontend.ts:80"" ""172.20.8.123:8080"" inbound|8080|| 127.0.0.6:46997 172.20.8.123:8080 172.20.188.204:40990 - default"
ljILp38BmS57GQLkRW7O,1647775006,currencyservice-1,log_currencyservice-envoy_gateway,"""POST /hipstershop.CurrencyService/Convert HTTP/2"" 200 - via_upstream - ""-"" 25 17 1 1 ""-"" ""grpc-go/1.31.0"" ""5938cb2e-307b-95af-86bb-10cd030a8623"" ""currencyservice:7000"" ""172.20.8.92:7000"" inbound|7000|| 127.0.0.6:54528 172.20.8.92:7000 172.20.8.105:58904 outbound_.7000_._.currencyservice.ts.svc.cluster.local default"
i2v3o38BmS57GQLkU8HJ,1647723364,frontend-0,log_frontend-envoy_gateway,"""POST /api/traces HTTP/1.1"" 202 - via_upstream - ""-"" 9411 0 0 0 ""-"" ""Go-http-client/1.1"" ""b166d2a7-2bd2-98ef-bd43-2c940db9e99d"" ""jaeger-collector:14268"" ""172.20.88.16:14268"" outbound|14268||jaeger-collector.ts.svc.cluster.local 172.20.8.66:57880 10.68.243.50:14268 172.20.8.66:48948 - default"
Q66SpX8BmS57GQLkiv0j,1647750317,frontend-2,log_frontend-envoy_gateway,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/2"" 200 - via_upstream - ""-"" 17 162 4 4 ""-"" ""grpc-go/1.31.0"" ""7e22069b-a1f7-987a-968e-6f4c19a0fd3e"" ""productcatalogservice:3550"" ""172.20.8.107:3550"" outbound|3550||productcatalogservice.ts.svc.cluster.local 172.20.8.123:54878 10.68.16.165:3550 172.20.8.123:36352 - default"
FeA-pn8BmS57GQLkbV_z,1647761579,productcatalogservice-1,log_productcatalogservice-envoy_gateway,"""- - -"" 0 - - - ""-"" 298 762 3 - ""-"" ""-"" ""-"" ""-"" ""172.20.188.237:4000"" outbound|4000||basic-tidb-external.tidb-cluster.svc.cluster.local 172.20.8.68:52904 10.68.243.67:4000 172.20.8.68:41908 - -"
gORMpn8BmS57GQLkZHeC,1647762492,currencyservice-2,log_currencyservice-envoy_gateway,"""POST /hipstershop.CurrencyService/Convert HTTP/2"" 200 - via_upstream - ""-"" 25 18 0 0 ""-"" ""grpc-go/1.31.0"" ""dd137aee-db52-9c72-82f9-5394462235b4"" ""currencyservice:7000"" ""172.20.8.98:7000"" inbound|7000|| 127.0.0.6:57533 172.20.8.98:7000 172.20.8.123:56510 outbound_.7000_._.currencyservice.ts.svc.cluster.local default"
ptELpn8BmS57GQLkzNj6,1647758256,recommendationservice-1,log_recommendationservice-envoy_gateway,"""POST /hipstershop.ProductCatalogService/ListProducts HTTP/2"" 200 - via_upstream - ""-"" 5 1396 0 0 ""-"" ""grpc-python/1.30.0 grpc-c/10.0.0 (manylinux; chttp2)"" ""5950493b-083f-9c5d-90d1-93c868add39d"" ""productcatalogservice:3550"" ""172.20.8.93:3550"" outbound|3550||productcatalogservice.ts.svc.cluster.local 172.20.8.124:35108 10.68.16.165:3550 172.20.8.124:59600 - default"
ZWGPo38BmS57GQLk5jb_,1647716584,frontend-0,log_frontend-envoy_gateway,"""POST /hipstershop.AdService/GetAds HTTP/2"" 200 - via_upstream - ""-"" 14 0 3 3 ""-"" ""grpc-go/1.31.0"" ""ad2dda13-ec90-9584-9553-65d7aa28828e"" ""adservice:9555"" ""172.20.8.121:9555"" outbound|9555||adservice.ts.svc.cluster.local 172.20.8.66:42248 10.68.40.87:9555 172.20.8.66:54724 - default"
uy0Cp38BmS57GQLkQGlF,1647774412,recommendationservice-0,log_recommendationservice-envoy_gateway,"""POST /hipstershop.ProductCatalogService/ListProducts HTTP/2"" 200 - via_upstream - ""-"" 5 1396 1 0 ""-"" ""grpc-python/1.30.0 grpc-c/10.0.0 (manylinux; chttp2)"" ""d46e65a8-4361-9f80-a688-48275fa3f2d5"" ""productcatalogservice:3550"" ""172.20.8.68:3550"" outbound|3550||productcatalogservice.ts.svc.cluster.local 172.20.8.91:50730 10.68.16.165:3550 172.20.8.91:37782 - default"
kBDGpn8BmS57GQLkTyMg,1647770486,frontend-0,log_frontend-envoy_gateway,"""POST /api/traces HTTP/1.1"" 202 - via_upstream - ""-"" 9432 0 0 0 ""-"" ""Go-http-client/1.1"" ""8a8b3557-5dc7-9698-8886-9c8db8881ec0"" ""jaeger-collector:14268"" ""172.20.88.16:14268"" outbound|14268||jaeger-collector.ts.svc.cluster.local 172.20.8.66:57880 10.68.243.50:14268 172.20.8.66:48948 - default"
CjQOp38BmS57GQLk_3zb,1647775243,frontend-0,log_frontend-envoy_gateway,"""POST /hipstershop.AdService/GetAds HTTP/2"" 200 - via_upstream - ""-"" 5 133 3 3 ""-"" ""grpc-go/1.31.0"" ""b9fa86c7-2853-9f73-a484-d6aa6a83bd7c"" ""adservice:9555"" ""172.20.8.106:9555"" outbound|9555||adservice.ts.svc.cluster.local 172.20.8.66:36420 10.68.40.87:9555 172.20.8.66:54724 - default"
FaqEpX8BmS57GQLkwt1S,1647749413,frontend-0,log_frontend-envoy_gateway,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/2"" 200 - via_upstream - ""-"" 17 128 5 5 ""-"" ""grpc-go/1.31.0"" ""07e0df59-90e9-9d92-8057-eccef26de51e"" ""productcatalogservice:3550"" ""172.20.8.68:3550"" outbound|3550||productcatalogservice.ts.svc.cluster.local 172.20.8.66:43508 10.68.16.165:3550 172.20.8.66:60356 - default"
47WmpX8BmS57GQLkrwtk,1647751636,paymentservice-1,log_paymentservice-envoy_gateway,"""POST /hipstershop.PaymentService/Charge HTTP/2"" 200 - via_upstream - ""-"" 52 43 1 0 ""-"" ""grpc-go/1.31.0"" ""350ccb1d-4fad-985a-9fe7-925b60091cd3"" ""paymentservice:50051"" ""172.20.8.120:50051"" inbound|50051|| 127.0.0.6:53928 172.20.8.120:50051 172.20.8.122:43592 outbound_.50051_._.paymentservice.ts.svc.cluster.local default"
wSf4pn8BmS57GQLkPtQf,1647773760,frontend-2,log_frontend-envoy_gateway,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/2"" 200 - via_upstream - ""-"" 17 169 5 5 ""-"" ""grpc-go/1.31.0"" ""0a7f5f5b-7b9d-9944-9bf9-ef9cca430b0e"" ""productcatalogservice:3550"" ""172.20.8.68:3550"" outbound|3550||productcatalogservice.ts.svc.cluster.local 172.20.8.123:39610 10.68.16.165:3550 172.20.8.123:36352 - default"
bry_pX8BmS57GQLkahs9,1647753253,shippingservice-0,log_shippingservice-envoy_gateway,"""POST /api/traces HTTP/1.1"" 202 - via_upstream - ""-"" 2028 0 0 0 ""-"" ""Go-http-client/1.1"" ""73799954-6189-90bb-8160-15e496729882"" ""jaeger-collector:14268"" ""172.20.88.16:14268"" outbound|14268||jaeger-collector.ts.svc.cluster.local 172.20.8.65:38612 10.68.243.50:14268 172.20.8.65:57064 - default"
nYoRpX8BmS57GQLkIWXd,1647741834,productcatalogservice-2,log_productcatalogservice-envoy_gateway,"""- - -"" 0 - - - ""-"" 298 777 4 - ""-"" ""-"" ""-"" ""-"" ""172.20.188.237:4000"" outbound|4000||basic-tidb-external.tidb-cluster.svc.cluster.local 172.20.8.107:34600 10.68.243.67:4000 172.20.8.107:60198 - -"
JU9Yp38BmS57GQLk4V8c,1647780092,frontend-2,log_frontend-envoy_gateway,"""POST /hipstershop.CurrencyService/GetSupportedCurrencies HTTP/2"" 200 - via_upstream - ""-"" 5 170 1 1 ""-"" ""grpc-go/1.31.0"" ""f72400cd-4fb8-90e3-9074-babb6443e3d0"" ""currencyservice:7000"" ""172.20.8.115:7000"" outbound|7000||currencyservice.ts.svc.cluster.local 172.20.8.123:48866 10.68.155.95:7000 172.20.8.123:54134 - default"
wN00pn8BmS57GQLklYJF,1647760934,productcatalogservice-2,log_productcatalogservice-envoy_gateway,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/2"" 200 - via_upstream - ""-"" 17 162 4 4 ""-"" ""grpc-go/1.31.0"" ""9b1d92ca-e2a6-918e-894d-fc3b5b2be64c"" ""productcatalogservice:3550"" ""172.20.8.107:3550"" inbound|3550|| 127.0.0.6:43859 172.20.8.107:3550 172.20.8.66:35440 outbound_.3550_._.productcatalogservice.ts.svc.cluster.local default"
z1lVo38BmS57GQLkvqfo,1647712778,productcatalogservice-1,log_productcatalogservice-envoy_gateway,"""- - -"" 0 - - - ""-"" 298 779 3 - ""-"" ""-"" ""-"" ""-"" ""172.20.188.237:4000"" outbound|4000||basic-tidb-external.tidb-cluster.svc.cluster.local 172.20.8.68:39502 10.68.243.67:4000 172.20.8.68:56738 - -"
YrGapX8BmS57GQLk1njq,1647750860,frontend-2,log_frontend-envoy_gateway,"""GET /product/2ZYFJ3GM2N HTTP/1.1"" 200 - via_upstream - ""-"" 0 7727 50 50 ""-"" ""k6/0.26.2 (https://k6.io/)"" ""1954493d-1f20-927b-9447-83ac909cc5da"" ""frontend.ts:80"" ""172.20.8.123:8080"" inbound|8080|| 127.0.0.6:40464 172.20.8.123:8080 172.20.188.247:38396 - default"
9CwBp38BmS57GQLkVOcY,1647774352,currencyservice-0,log_currencyservice-envoy_gateway,"""POST /hipstershop.CurrencyService/GetSupportedCurrencies HTTP/2"" 200 - via_upstream - ""-"" 5 170 0 0 ""-"" ""grpc-go/1.31.0"" ""11611267-f80f-9431-8af4-29e80df98d2b"" ""currencyservice:7000"" ""172.20.8.115:7000"" inbound|7000|| 127.0.0.6:46755 172.20.8.115:7000 172.20.8.105:53660 outbound_.7000_._.currencyservice.ts.svc.cluster.local default"
