log_id,timestamp,cmdb_id,log_name,value
AiKKp38BXUazOxyePhOt,1647783326,frontend-2,log_frontend-service_application,"severity: debug, message: request complete"
sgC3pn8BXUazOxye3-Am,1647769540,frontend-1,log_frontend-service_application,"severity: debug, message: request started"
lQK-pn8BXUazOxyeCqVH,1647769946,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[2]
hNOtpX8BXUazOxyeY550,1647752075,currencyservice-2,log_currencyservice-service_application,"severity: info, message: conversion request successful"
tMLapH8BXUazOxyeTIEj,1647738241,currencyservice-1,log_currencyservice-service_application,"severity: info, message: conversion request successful"
7dGVpX8BXUazOxye9Rst,1647750541,cartservice-2,log_cartservice-service_application,     Request starting HTTP/2 POST http://cartservice:7070/hipstershop.CartService/AddItem application/grpc 
0w4Hp38BXUazOxye9k5L,1647774789,currencyservice-1,log_currencyservice-service_application,"severity: info, message: Getting supported currencies..."
k_FMpn8BXUazOxyeSuOJ,1647762489,currencyservice-0,log_currencyservice-service_application,"severity: info, message: conversion request successful"
WMLOpH8BXUazOxye0xqY,1647737488,cartservice-2,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[1]
Agv9pn8BXUazOxyezFxp,1647774123,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[1]
38lEpX8BXUazOxyecTrv,1647745199,cartservice-2,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[0]
F7OHo38BXUazOxyeWfV7,1647716027,currencyservice-1,log_currencyservice-service_application,"severity: info, message: conversion request successful"
-gr3pn8BXUazOxyeAgZq,1647773678,shippingservice-2,log_shippingservice-service_application,"severity: info, message: [ShipOrder] received request"
sPJPpn8BXUazOxye_lsQ,1647762733,cartservice-1,log_cartservice-service_application,     Executed endpoint 'gRPC - /hipstershop.CartService/GetCart'
ds-LpX8BXUazOxyeUftR,1647749842,cartservice-1,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[1]
uslMpX8BXUazOxyed605,1647745723,cartservice-2,log_cartservice-service_application,etCartAsync called with userId=816825df-13e7-4b53-9cbb-232379643789
jiGBp38BXUazOxyefBp1,1647782752,currencyservice-1,log_currencyservice-service_application,"severity: info, message: received conversion request"
X_2ppn8BXUazOxyetc4g,1647768612,cartservice-1,log_cartservice-service_application,     Executing endpoint 'gRPC - /hipstershop.CartService/GetCart'
wf6vpn8BXUazOxye77g_,1647769020,cartservice-2,log_cartservice-service_application,     Request finished in 0.8261ms 200 application/grpc
zspYpX8BXUazOxye0LMW,1647746533,frontend-0,log_frontend-service_application,"severity: debug, message: request complete"
ktfYpX8BXUazOxyed1ae,1647754899,frontend-1,log_frontend-service_application,"severity: debug, message: request complete"
CBEcp38BXUazOxye98Zz,1647776166,cartservice-0,log_cartservice-service_application,     Executing endpoint 'gRPC - /hipstershop.CartService/GetCart'
VRQvp38BXUazOxyeVz0f,1647777368,cartservice-0,log_cartservice-service_application,etCartAsync called with userId=ae8c8822-3511-473b-bfd5-3c23c7f3c84d
GxEbp38BXUazOxyeKaB_,1647776048,cartservice-1,log_cartservice-service_application,     Executed endpoint 'gRPC - /hipstershop.CartService/GetCart'
LPRjpn8BXUazOxyej8eP,1647764015,cartservice-0,log_cartservice-service_application,     Executing endpoint 'gRPC - /hipstershop.CartService/GetCart'
